ID	Content	A	B	C	D
1035	I've never been good __ arithmetic.	in	on	with	at
1036	I'm afraid it's  pointless __.	asking Mary for help	to ask help from Mary	to ask Mary of  help	to ask Mary of helping
1037	There is no need for you to  shout __.	at the top of your voice	on the top of your  voice	on top of your voice	at your top voice
1038	I  __ him about it for more than two days now and I still don't know the  answer.	am asking	asked	have been asking	have  asked
1039	He __ his success to hard work.	attributes	abides	aims	angles
1040	"Because the disease is relatively rare and doctors knoe  little about it, any treatment prescribed can __ the pain but cannot  __ the patient."	alleviate...infect	palliate...cure	abate...affect	minimize...revive
1041	"When the police eventually found my wallet, it  was completely __."	empty	vacant	deserted	open
1042	It was a  sad day when the factory finally closed and the workers were all __.	paid  back	paid off	paid out	paid up
1043	You will become ill  __ you stop working so hard.	until	when	unless	if
1044	"The sooner we  leave this terrible hotel, the __!"	rather	better	preferable	ideal
1045	You won't need an umbrella  after all: the weather seems to be __.	clearing up	setting  up	clearing off	wearing off
1046	When you stay in a  country for some time you get used to the people's __ of life.	habit	custom	way	system
1047	"We can no longer afford the  cost of __ two cars, so we're selling one."	operating	managing	running	controlling
1048	A soldier has to learn  to carry __ orders as soon as they are given.	on	out	through	off
1049	Too many footballers these days  refuse to __ the referee's decision.	agree	accept	allow	approve
1050	It's not fair that I  __ always have to do the washing-up.	would	should	ought(to)	must
1051	I don't  think Nicole will have any problems at the interview: she's a very self-__  young lady.	reliable	confident	trusting	dependent
1052	Last summer was so hot that the __ in the wood  actually dried up.	pond	bath	bowl	flood
1053	It is  over a year __ I visited the dentist.	since	past	yet	when
1054	There's an  interesting job __ in today's newspaper.	informed	advertised	announced	issued
1055	The  drawing lessons usually start __ 4 p.m.	with	on	in	at
1056	I though you said  that you were __ to be in Spain this weekend.	supposed	assumed	intended	planned
1057	Motorway traffic was __ after a lorry overturned and spilt its load over  the northbound carriageway.	diverged	digressed	deflected	diverted
1058	Being described by the Americans as a  homemaker seems infinitely preferable to being referred to as a(n) __  housewife.	only	lone	mere	sole
1059	I wish  they __ change their minds so often!	shouldn't	wouldn't	mightn't	couldn't
1060	The  Tabors lived a life thought to be __ even by their contemporaries.	extortionate	exorbitant	extravagant	extraneous
1061	When I was a child I always wanted to __ to  play the piano.	know	learn	make	discover
1062	I can't  make __ what's happening.	away	out	do	over
1063	I've put on  so much weight that my clothes don't __ me any more.	match	suit	agree with	fit
1064	He's such a naughty child; it's  amazing what his mother lets him __ away with.	go	make	do	get
1065	Bob __ to the hospital  five minutes before the birth of his daughter.	was	reached	got	arrived
1066	He took the trouble to  write __ the complete list for us.	on	out	off	through
1067	"__ the papers, the  Prime Minister is giving a speech on the economy tomorrow."	Referring to	According  to	Related to	Attached to
1068	Clearing the weeds from  the churchyard was a much harder __ than the children had imagined it  would be.	deed	task	service	work
1069	It is a  minor road and very narrow and __ in places.	bending	winding	wandering	turning
1070	My application for a  trading licence was __.	held down	let down	put  down	turned down
1071	I am very fond of Graham Greene's novels.  He is my __ modern author.	favoured	favourite	likely	popular
1072	Jane studied zoology at university and  __.	I did also	also I did	so did I	so I  did
1073	Biting one's fingernails is a very bad __.	custom	way	habit	tradition
1074	Are you saying  you want me to work all weekend? You __ be serious.	mustn't	can't	might not	shouldn't
1075	"He  is so keen __ learning, you should encourage him in his efforts."	in	on	for	of
1076	Don't blame me  __ that!	of	to	for	with
1077	I don't  think he actually had __ me about his problems.	tells	tell	to tell	telling
1078	The  judge shouted to counsel on both sides that he would __ no argument on the  issue and enjoined them to __.	hear...vote	accept...speculation	brook...silence	entertain...tolerance
1079	Leadville  was __ out when the silver boom collapsed in 1893.	phased	wiped	knocked	eased
1080	The  politician rehearsed his speech again and again until he was unsure that he was  word __.	precise	exact	accurate	perfect
1081	He often __ about his expensive car.	praises	shows	boasts	prides
1082	Have you heard the news?  Charles has got married __ Sarah.	to	with	at	by
1083	He went to bed __ very  ill.	felt	feeling	feels	having felt
1084	Could you  __ me five pounds? I'll pay you back next Monday.	lend	borrow	take	return
1085	Doctors hope that one day a  cure for cancer will __.	find	been found	has been  found	be found
1086	My wife and I have much pleasure in __  the invitation to your daughter's wedding.	taking	accepting	thanking	welcoming
1087	He is a very __  player. He practises for two hours every morning.	amateur	keen	excited	impatient
1088	"I had a __, which I  couldn't explain, that something terrible was going to happen."	sense	thought	feeling	view
1089	"If you're trying to lose  weight, you should __ off fatty food."	go	keep	be	eat
1090	"When he felt school, John  decided to __ a priest instead of studying languages."	change  to	become	train for	study for
1091	She  __ drive to the station every day but then she suddenly decided to walk  instead.	was used to	had used to	was using  to	used to
1092	"__ hard he tries, John never wins at  tennis."	Wherever	Whenever	However	Whatever
1093	"When he was hit on the head, he __ consciousness."	lost	fell	missed	dropped
1094	He  got a bad mark because he had __ a lot of mistakes in his homework.	made	done	completed	committed
1095	The  student who __ in his exams was expelled from the school.	tricked	cheated	deceived	betrayed
1096	The  car came round the corner __ full speed.	for	at	to	by
1097	I dreamt __ you  last night.	of	off	on	in
1098	"- Didn't  he wait for me? - No, he __."	set off to a stroll alone	set off on a  stroll alone	set out to a stroll alone	set down to a  stroll alone
1099	"If I can't come back on time, Betty __ her  dinner alone."	has	would have	will have	will have  had
1100	As black as __ = very dirty.	the Ace of  Spades	ink	midnight	the earth
1101	I am very __ in the information you have  given me.	concerned	surprised	interesting	interested
1102	"Since his wife died, Roland has gone to __."	fragments	pieces	bits	scraps
1103	I hope that you have  read the contract and understand __ it means.	that	how	what	which
1104	"When the team scored the  winning goal, the crowd's __ was amazing."	reaction	inactive	overacting	interacted
1105	Beryl met her husband  __ a computer dating agency.	by	through	out of	from
1106	"As far as  I'm __, it's quite all right for you to leave early."	concerned	regarded	consulted	bothered
1107	There was another serious  __ of cholera there last month.	breakout	outbreak	overflow	fallout
1108	The __ of the four  workers led to a series of industrial troubles.	sending	dismissal	parting	leaving
1109	Betty struggled for a long  time before she finally __ to free herself.	managed	succeeded	achieved	enabled
1110	Frank tried to think of a  good excuse to __ going to the meeting.	get off  with	get out of	get away from	get over for
1111	This meat is rather tough; you have to __ it for a long time.	chew	bite	eat	swallow
1112	I always wear a  seat-belt __ I have an accident.	unless	if	in case	when
1113	It  usually takes a little while to __ in a new flat.	settle  up	settle on	settle down	settle  through
1114	Far more people __ football on a Saturday afternoon  than play it.	watch	look	stare	see
1115	The bus  conductor told him to get off because he couldn't pay the __.	bill	fare	fee	journey
1116	She is  well-qualified __ typing and very efficient at her work.	to	at	in	on
1117	"In order to __  museums and legitimate investors and to facilitate the __ of pilfered  artifacts, art magazines often publish photographs of stolen archaeological  treasures."	perpetuate... return	protect... recovery	encourage...excavation	undermine...discovery
1118	"Despite  some bad reviews, Horowitz' stature was not __, and his fans and critics  in Tokyo were unanimous in expressing their __ of his unique talent."	distilled...kinship with	embellished...ignorance of	criticized...disdain for	diminished...appreciation of
1119	a  French window = __.	a window that gives out on a brick wall	a window that  turns out to be too small	a window with no glass	a double glass  door that opens on to a garden or balcony
1120	The Tabors' fortune was  __ at more than $100 million.	guessed	judged	amagined	estimated
1121	"To our __, Geoffrey's illness proved not to  be as serious as we had feared."	anxiety	eyes	relief	judgement
1122	You  mustn't let him treat you so badly; you must stand __ him and be strong.	for	by	up to	down
1123	The station clock is  not as __ as it should be; it is usually between one and two minutes fast.	strict	certain	true	accurate
1124	- Harvey: I think  I'm well enough to get back to work. - Gladys: Not really. You __ stay at  home for another day or so.	should better	had better	would better	can  better
1125	The two trains collided with __ loud a crash it woke  everyone in the station hotel.	so	very	as	such
1126	We __  the stolen car when the insurance money arrived.	replaced	misplaced	displaced	unplaced
1127	I am looking forward  __ you again next year.	to see	seeing	to seeing	to having seen
1128	We live in a friendly community and everyone __ each other very well.	gets up  to	gets out of	gets on with	gets down to
1129	Parking __! By order.	prohibited	stopped	prevented	denied
1130	It's  customary to give at least a week's __ before you leave the job.	time	leave	notice	advice
1131	"More  often __ not, it rains here in summer."	as	if	than	but
1132	"Alan and Cyril used  to hate each other, but now they are the __ of friends."	most	nearest	grandest	best
1133	If  __ I had married her when I had the chance!	just	hardly	only	then
1134	"After her husband's  death, Ruby kept the business __ for as long as possible."	go	to go	to going	going
1135	He is  very good __ finding excuses.	at	for	to	in
1136	__ any of these  films before?	have you seen	did you see	will you  see	do you see
1137	Would you mind __ these plates a  wipe before putting them in the cupboard?	making	doing	getting	giving
1138	The  lung transplant operation was __ complicated and the doctors had to take  special care to ensure its success.	broadly	immediately	extremely	slightly
1139	I  __ be most grateful if you could let me have the details as soon as  possible.	ought to	intend to	should	might
1140	Does anyone know __ this coat might be?	whose	whom	to whom	who
1141	I don't know him but he looks as if he __  be her brother.	can	could	would	shall
1142	She never  says a word: she's as __ as a mouse.	quiet	small	slight	noiseless
1143	After his long absence  from school he found it difficult to __ up with the rest of his class.	catch	take	make	work
1144	We got to the theatre  just __ to see the first scene of the play.	on time	in  time	at times	with time
1145	The job of student  lodgings officer __ a great many visits to landladies.	concerns	offers	asks	involves
1146	Do you __ my turning  the television on now?	mind	disapprove	want	object
1147	He was not very pleased about __ called an  incompetent idiot.	being	was	to be	had been
1148	A hot  lemon drink with honey is very good __ a cold.	to	at	with	for
1149	She heard a __ at the  door and went to see who was outside.	hit	knock	lean	strike
1150	Out hotel is __  walking distance of the sea.	close	inside	near	within
1151	"The main __ of this drink are wine, orange juice and  bitters."	parts	components	compositions	ingredients
1152	My hands smell  __ soap.	with	from	by	of
1153	I'm sure  he __ on 15th January.	hasn't come	don't come	doesn't  come	didn't come
1154	"If I see Tom, I __ to him."	am  talking	talk	will talk	would talk
1155	"If  I get tickets for the cinema, I __ you up."	rang	ring	could ring	will ring
1156	She  did all the work __ her own.	by	on	for	with
1157	The police finally arrested the __ criminal.	famous	renowned	respectable	notorious
1158	The  left wing of the party propers __ the right wing seems to be losing  ground.	until	whether	unless	while
1159	"During the lecture, the student took down __  quantities of notes."	copious	voluminous	extended	detailed
1160	Open plains are __ of the geography of Kenya.	distinctive	characteristic	separate	specific
1161	It's a good idea to see your doctor regularly for  __.	a revision	a control	an  investigation	a check-up
1162	"If we had known your new  address, we __ to see you."	came	will come	would come	would have  come
1163	"Look, Mother! Jack has __ you some flowers."	brought	carried	lifted	present
1164	He played an active  __ in politics until he was well over 80.	scene	job	position	part
1165	Clock-making is very __  work which takes years to learn.	skilled	trained	educated	unique
1166	She  __ him of wanting to marry her for her money.	cursed	accused	blamed	warned
1167	It was raining very __  so I took my umbrella.	wet	badly	hard	firmly
1168	The judge  __ him twenty pounds for parking his car illegally.	punished	charged	ordered	fined
1169	Do you know what the time the  train __ to Birmingham?	reaches	gets	arrives	comes
1170	"Mary  never turned __ at the cinema, although I waited over an hour."	out	in	up	to
1171	The accused man  __ to give the police any more information.	objected	denied	refused	disliked
1172	Can  you give me __ information about taking my car abroad?	all	an	any	one
1173	He was the only  person to __ the crash. Everyone else was killed.	alive	cure	recover	survive
1174	He  has always been fond __ games.	in	with	about	of
1175	I heard him __  to Jim about his holiday plans.	talks	talked	to talk	talk
1176	All these sweaters are extremely __ by the local  residents of a small Scottish island.	well-knit	well-founded	well-worn	well made
1177	"Too  many undergraduates think it is easy to __ a job once they leave  university. Unfortunately, jobs for graduates are getting scare. Finding a  suitable one is another problem."	obtain	attain	collect	apply
1178	Bob's always sucking up to the boss. I guess  he's __ for promotion.	angling	acting	adhering	amounting
1179	"The poetry of Mallarme, like the poetry od  most of the symbolists, is not clear and easily accessible but rather vague and  __."	opaque	redundant	lucid	straightforward
1180	as rich as __ = extremely rich.	Croesus	honey	pie	a two nails
1181	"I saw a thief take Norman's wallet so I ran  __ him, but I didn't catch him."	into	after	over	near
1182	Could you __ me to take  back those library books tomorrow?	memorize	remember	remind	recall
1183	The new  play at the National Theatre is well worth __.	to see	seeing	to seeing	to be seen
1184	I'm not surprised you  failed the exam. You __ have worked harder.	should	must	would	ought
1185	__ no need to buy  traveller's cheques since most countries take credit cards.	It's	There's	You're	It has
1186	He retired early __  ill-health.	on behalf of	ahead of	on account of	in front  of
1187	"__ did I have a headache, I also felt quite sick."	Also	Not  only	Although	In addition
1188	"John, do you think you  could __ me $50?"	let	hire	lend	borrow
1189	They tell  me he is __ a lot of money in his new job.	having	earning	gaining	profiting
1190	Mr Hanley was __  of stealing one of the office typewriters.	judged	charged	accused	arrested
1191	"Simon tried harder than __, but I'm afraid he failed the test yet again."	always	ever	never	better
1192	All traffic is  being __ because of the military parades.	diverted	converted	changed	altered
1193	Don't  blame him __ this; I am responsible for what has happened.	to	at	for	on
1194	She often suffers  __ colds.	to	at	on	from
1195	He ran  so fast I couldn't catch up __ him	to	at	with	from
1196	He's never done any  work. He lives __ his mother.	on	from	at	in
1197	The Inspectors'  report __ in its comments on the standard of reading and writing among  school leavers.	pulls no punches	pulls no needles	puts no  punches	gives no punches
1198	Our car __ in the street so  you can see it through the window.	is parked	had parked	has  parked	will have been parked
1199	"Due to the __ of the  materials needed to manufacture the product and the ever-increasing demand for  it, it is highly probably that the final cost to the consumer will __."	immensity...evolve	paucity...escalate	scarcity...relax	certainly...flunctuate
1200	When I  tried to walk I had a sharp __ in my leg.	hurt	wound	pain	cut
1201	"He stood on one leg, __ against the wall,  while he took off his shoe."	stopping	staying	leaning	supporting
1202	"__ of all of us who are here tonight, I would like to thank Mr Jones for  his talk."	On behalf	On account	In person	Instead
1203	It was a complete __; I never meant to hurt her!	chance	error	accident	happening
1204	When I was in the  hotel my money __.	was stolen	is stolen	was stealing	has been  stolen
1205	"__ to an accident in the High Street, traffic is  moving very slowly on the London Road."	Through	Owing	Because	Since
1206	I am going to have a short  rest as I __ a headache.	take	have	feel	suffer
1207	Wild  ducks always fly in a definite __.	figure	formula	shape	formation
1208	"There was a robbery at  the bank, and the police are looking __ the matter."	up to	in  on	into	through
1209	I'm not sure how old he is  but he must be __ for 70.	going by	getting up	getting on	going  off
1210	The sky is __ so I don't think it will rain.	clean	clear	cloudy	open
1211	It  tasted so __ of lemon that the other flavours were lost.	hardly	forcefully	strongly	fully
1212	I am  not in the least __ about his opinion.	aware	concerned	interested	regarded
1213	"Whenever you go to the sales, you __ your money buying things that nobody  wants."	lose	miss	waste	leave
1214	Paris  lies __ the river Seine.	over	next	on	at
1215	At the end of the day we watch a little television __  going to bed.	before	then	upon	during
1216	"Mr  Handforth could have continued working until he was 65, but he decided to  __ early."	resign	withdraw	retire	retreat
1217	It is obvious to everyone that he is not responsible  __ this mistake.	for	of	on	about
1218	The  sergeant's orders were perfectly __.	executed	developed	exercised	applied
1219	She's  obviously going to get a top job soon. She's a real high __.	cats	flier	market	fish
1220	The boy  looks like his father and the girl takes __ her mother.	over	for	after	off
1221	The __ thing about travelling by train  rather than by car is that you can sleep or read during the journey.	enjoyment	enjoyed	enjoying	enjoyable
1222	I let the phone ring  several times before I __ the receiver.	raised up	took  out	lifted away	picked up
1223	We have arranged special  insurance to cover medical __ in the event of an accident.	prices	expenses	accounts	money
1224	Everyone who applies for a  job with the company is given an intelligence __.	experience	fitting	proof	test
1225	"If you hear the baby __,  please tell me."	cry	say	shout	weep
1226	"In the last  few weeks, a record number of cars __."	have been  sold	have sold	had sold	had been sold
1227	"He thought  __ getting a new job for a long time, but in the end he decided not to."	at	about	on	for
1228	Of course I'm a  Christian __ I expect everyone who works here to be a Christian too.	since	then	and	but
1229	I'm disgusted __  your behaviour!	to	by	for	at
1230	You forgot  to thank Aunt Jane __ her present.	on	for	at	with
1231	I'm not very fond  __ dancing.	at	in	on	of
1232	I was  afraid of mentioning it __ him.	on	to	for	with
1233	"We have a __  future ahead with little comfort, food or hope."	cruel	grim	pessimistic	fierce
1234	She  __ me all about her new job when we meet next Thursday.	will  tell	tells	told	has been telling
1235	He  __ for Paris last Saturday.	has left	had left	left	leaves
1236	"I would have bought that camera, if I __  money."	have	have had	had had	will  have
1237	"As soon as you __ to the station, you'll meet Dick who  is waiting for you at the entrance door."	will	have got	get	gets
1238	"If I had more time,  I __ some of those articles."	will read	would read	would have  read	had read
1239	I'd be very __ to go to Japan one day.	interested	enjoyable	fond	hopeful
1240	The product has been a great success. We're doing a  roaring __ in it.	deal	ship	trade	bargain
1241	I shouldn't imagine there is __ on earth  who can answer that question.	no one	somebody	some persons	anyone
1242	Children in large families learn how to get __ with  other people.	along	away	across	through
1243	Hello.  Is that 21035? Please put me __ to the manager.	across	up	over	through
1244	__ pleasant it is to  sit here in the shade!	So	What	How	It's
1245	I'm going  to __ my dress dry-cleaned.	have	make	send	take
1246	I'm afraid  Grandfather's writing is becoming more and more __.	illegible	illiterate	eligible	incoherent
1247	They had to __  some trees that had been standing for over a hundred years.	cut	cutting	cut off	cut down
1248	"I __ rather not go  by coach, if you don't mind."	would	should	will	had
1249	"""Thank  goodness you have come __!"" she exclaimed in relief."	finally	at the  end	lastly	at last
1250	It was a magnificent car  which must have belonged to a very __ person.	plentiful	wealthy	expensive	luxurious
1251	I'll give George your message the __ I see him.	occasion	soon	minute	time
1252	I had a  __ problem with my computer when I started to use it.	like	same	similar	likely
1253	"She is  very stubborn, so it will be difficult to __ her to go."	persuade	suggest	make	prevent
1254	In the car park  the detective came face __ face with spy.	for	to	by	at
1255	I can't afford a TV  so we'll just have to do __ one for the moment.	down	up	without	up with
1256	"He is  intent __ passing the examination, but I'm doubtful about his chances."	on	with	to	about
1257	__ the  evening Dick and Mark will meet again.	on	about	at	in
1258	"When he was washing  his shirt in the bathroom, the telephone __."	rang	would ring	has rung	rings
1259	"I am  afraid, Mr Jones, that the bank is obliged to refuse your application for an  extended __."	estimate	overdraft	compensation	balance
1260	The delay to the fight  was brought __ by bad weather.	up	in	down	about
1261	He __ the office when I arrived.	was leaving	has  left	should leave	leaves
1262	He will do the work and then  send you the __ for it.	sum	note	addition	bill
1263	My brother  is always late for appointments. He seems to be __ of leaving the house on  time.	unable	impossible	incapable	unaware
1264	Sarah would not __ her parent's advice about her  choice of career.	follow	agree	do	want
1265	"Unfortunately, Sally has never been too friendly to Jim and keeps him at a  __."	space	distance	reserve	remove
1266	I  __ rather go to Ireland than Scotland for my holiday.	had	would	did	could
1267	Our company is a small  organization with only a few __.	employees	employers	employments	employs
1268	Catching the earlier train  will give us the __ to do some shopping.	opportunity	luck	possibility	occasion
1269	I've __ had time to  read the report so I can't give an opinion on it.	hard	hardly	nearly	roughly
1270	She __ have rushed  to the airport like that. The plane was delayed by several hours.	needn't	mustn't	couldn't	wouldn't
1271	"Several new hotels have been built along the coast, and they have helped the  tourist business __."	at an end	no end	on end	on the  end
1272	Margaret looked embarrassed __ than pleased when she  won the prize.	instead	rather	apart	except
1273	"He has been waiting for this letter for days, and at  __ it has come."	last	the end	present	the  finish
1274	This year his company made a __ but next year we  hope to make a profit.	loose	lose	loss	lost
1275	"Even  though he was often cruel __ his dog, it remained faithful to him."	with	to	for	about
1276	"We expect a great  deal __ you, Smith."	at	on	from	off
1277	She is  well-qualified in typing and very efficient __ her work.	in	on	with	at
1278	"If he __ me to  tell it to him, I would do so with pleasure."	ask	asks	asked	has asked
1279	I do not  believe that this preposterous scheme is __ of our serious consideration.	worthless	worth	worthwhile	worthy
1280	She's  an excellent manager. She runs a really tight __.	deal	ship	handshake	bargain
1281	The boy fell into the river and was __  along by the fast current.	caught	swept	thrown	swung
1282	In a  greengrocer's shop there is a lot of __ when fruit and vegetables are not  sold.	rot	waste	ruin	rest
1283	"If you  don't know what the words means, why don't you look it __ the dictionary?"	at	in	up	for
1284	"- Do I have to make  that French course? - No, you __."	haven't	don't  have	mustn't	needn't
1285	He had no way of making a  fire so he had to eat the fish __.	crude	raw	rough	rude
1286	Her plane takes __ at 3  p.m.	out	up	on	off
1287	The child was told to  __ for being rude to his uncle.	excuse	apologize	forgive	confess
1288	"I'll have to __ to  you, otherwise he will hear."	shout	say	whistle	whisper
1289	"""I'll  call __ you at 6 o'clock,"" said James."	by	up	for	in
1290	"Try to write your figures  clearly, the way Anne __."	makes	does	puts	figures
1291	The concert was so __ that the audience went to  sleep.	bored	boring	exhausted	tired
1292	"When Mike entered the room, he looked rather pale and in  __ of a shave."	lack	need	want	necessity
1293	"The  traffic lights __ to green, and the cars drove on."	exchanged	turned	removed	shone
1294	Many  people escaped __ prison camps during the last war.	of	off	from	in
1295	How long have you  been working __ this exercise?	at	with	to	in
1296	I hope they will  never be able to __ his offer.	have John up  on	get John up on	take John up on	be John up on
1297	After I had discussed my plans with Professor Watkins I __ to work on my  dissertation.	have started	had started	started	would  start
1298	Absenteeism per employee __ out at 4 days a year.	acts	aims	averages	arrives
1299	The  storm played __ the cross-channel ferry crossings.	down	havoc with	cat and mouse with	along  with
1300	"If you've got a __ of cards, I'll show you some  tricks."	packet	collection	pack	set
1301	This is the __ of the bicycle which was  stolen.	detail	description	information	example
1302	It is __ unlikely that the Queen will agree to open  the new Town Hall.	mainly	highly	largely	greatly
1303	I have  lived near the railway for so long now that I've grown __ to the noise of  the trains.	accustomed	familiar	unconscious	aware
1304	"She  __ me of the first time we met, when we knocked into each other with our  umbrellas."	remembered	recalled	reminded	remained
1305	The  noise got __ as the car disappeared into the distance.	smaller	fainter	weaker	slighter
1306	"__ of all the staff,  I would like to wish you a happy retirement."	Instead	In  place	On behalf	On account
1307	While studying he  depended __ his wife for money.	from	to	of	on
1308	Never before __ seen such  an enormous wedding cake.	I had	I have	had I	I'd
1309	I haven't  heard from Pete for ages. I wish he __ me his phone number before he left.	gave	would give	would've given	had given
1310	"She  needs a lot of help, but she always refuses __ advice of any kind."	to  reject	rejecting	accepting	to accept
1311	I  must apologize __ keeping you waiting so long.	from	for	with	to
1312	I appealed __  him for help.	to	for	by	with
1313	He is  responding to treatment and will soon be cured __ his illness.	from	of	with	for
1314	High in the sky a  __ of birds was flying southward.	pack	swarm	flock	crowd
1315	A director  __ over all his employees.	is an ultimate authority	has ultimate  authority	has an ultimate authority	is having ultimate  authority
1316	It was __ that I burnt my mouth.	such hot  coffee	such a hot coffee	so hot coffee	so a hot  coffee
1317	I __ to read this book before I found an interesting  article about it.	told	had told	was told	had been  told
1318	As I was __ through the newspaper this morning. I  camme across a picture of an old army friend of mine.	gazing	glancing	staring	glimpsing
1319	"Although the comedian was very clever, many of his remarks were __ and  __ lawsuits against him for slander."	derogatory...resulted in	pithy...came upon	protracted...forestalled	depraved...assuaged
1320	There is no  __ that the new agricultural policy has been in any way disastrous.	indiscretion	indication	undecision	inducement
1321	When he retired from his job the directors  __ him with a clock.	offered	pleased	satisfied	presented
1322	The  old sailing boat was __ without trace during the fierce storm.	lost	crashed	disappeared	vanished
1323	"__ he comes, don't  forget to phone me."	If	In case	Whether	That
1324	He's the  __-looking man I have ever met.	most	better	best	well
1325	You can count __ me if  you ever want any help.	in	on	up	by
1326	My favourite  __ is roast beef.	dish	eat	menu	plate
1327	At four  o'clock Mr Hutchinson still had some __ to do in the garden.	work	job	effort	task
1328	I __ milk chocolate to  plain chocolate.	'd better	want	like	prefer
1329	"""You  can't have this football back __ you promise not to kick it at my cat  again,"" the old lady said firmly."	until	when	while	though
1330	There  was so much noise that we could hardly __ what the speaker was saying.	take  in	take up	bring in	bring out
1331	If  you want to have a pet you must be ready to look __ it for several years.	at	for	over	after
1332	I wish I could  __ smoking.	give away	give from	give up	give  out
1333	The United States __ from voting at the United Nations  yesterday.	discontinued	refused	rejected	abstained
1334	"Mark will be late as usual, but Alec always comes  __ time."	in	at	by	on
1335	He  confessed to me that he had just been converted __ some strange religion.	on	to	for	at
1336	"You could have  avoided risking __, General Brown."	the life of  your soldiers	the lives of your soldiers	your soldiers'  life	the life of your soldiers'
1337	Before I decided to buy a  plane ticket I __ to the head of the travel agency.	talked	had talked	has talked	am talking
1338	Your behaviour is awful. I'm fed up to the back __ with trying to find  excuses for your bad behaviour.	ceiling	handle	spare	teeth
1339	"Given the Secretary of State's __ the  President's foreign policies, he has no choice but to resign."	reliance  upon	antipathy toward	pretense of	support for
1340	I  like current affairs programmes that aren't afraid to tackle __ subjects.	concurrent	controversial	consecutive	contradictary
1341	An overtaking driver cut __ so suddenly  that I had to brake hard to avoid a crash.	by	out	in	on
1342	"If he __ a little harder,  his results would be better."	has worked	works	will work	worked
1343	Unexpectedly the lights __ out and we were left in darkness.	turned	put	went	gave
1344	I had no __ that the  divorce rate was so high in this country.	knowledge	idea	doubt	understanding
1345	I don't think he'll  ever __ the shock of his wife's death.	get through	get  over	get by	get off
1346	"__ Mrs Webber is over  seventy, she still goes swimming every day."	Despite	Although	Unless	Because
1347	In today's newspaper it  __ that oil has been discovered off the west coast.	advertises	notices	writes	says
1348	There is a large car-park  __ to the station.	across	by	close	right
1349	The hotel  room was so dirty that I was __ and complained to the manager.	ashamed	disgusted	disgusting	embarrassed
1350	"__ from anything  else, she is always late for work."	Not only	As well	Apart	Except
1351	You must keep your dog on a __ in this  park.	line	lash	lead	link
1352	The  Queen has said that she will __ the ceremony.	engage	come	attend	impart
1353	I'm  not sure if the new tax is __ a good idea after all.	much	as	such	so
1354	She was quite  unprepared __ the news.	for	to	at	on
1355	We have embarked __ a new scheme.	at	on	in	with
1356	And what does this  delightful drink consist __?	from	of	with	in
1357	__ we had to stand.	there being no  seats left	there's being no seats left	there having  been no seats left	there are no seats left
1358	"He  refused to give up work, __ he'd won a million pounds."	despite	however	even though	as though
1359	We  believe that the cumulative effects of renewed prosperity will __  expectations.	overcome	surpass	undermine	succeed
1360	It's distressing to see small children __ in the  streets.	pleading	imploring	entreating	begging
1361	The new manager explained to the staff that she  hoped to __ new procedures to save time and money.	manufacture	establish	control	restore
1362	The safety committee's  report recommended that all medicines should be kept out of the __ of  children.	hold	hand	reach	grasp
1363	The  manager __ the men to return to work immediately.	insisted	suggested	demanded	ordered
1364	On holiday I __  always on the beach when the weather is fine.	am	was	were	be
1365	Travelling to Paris __ air  is quicker than driving.	by	on	over	through
1366	I'm not  going to help you with your homework and neither __ John.	is going to	isn't going  to	is	isn't
1367	"""__ is a very good  all-round exercise,"" the doctor told Susan."	Swimming	To  swim	A swim	To swimming
1368	The burglar __ to  open a window at the back of the house.	succeeded	managed	forced	discovered
1369	We __ going to the  concert. The orchestra was marvellous.	enjoyed	wanted	hated	decided
1370	When she was crossing the  room the night-nurse happened to notice the old lady __ to get out of bed.	has  tried	to try	trying	tried
1371	"Although the town had changed in the ten years since he had last visited it,  much of it was still __ to him."	accustomed	common	familiar	relative
1372	"If you want to change the shirt that you bought, make  sure that you keep the __."	ticket	receipt	bill	notice
1373	- Deborah: When are they going to buy that  house? - Claudia: Didn't you know? They finally decided __.	not to  be	not to	not	no
1374	"After the police had  questioned him for 12 hours, Higgins broke __ and confessed."	down	up	out	through
1375	While studying  he was financially dependent __ his wife.	on	to	of	from
1376	"Luckily, he  remembered __ up with petrol, so he didn't run out."	to  fill	filling	filled	having filled
1377	"I've looked __ it everywhere, but I can't find it."	at	for	on	to
1378	Switzerland is  well-known for its impressive mountainous __.	views	scenes	scenery	sights
1379	"If  they __ to that party, they would certainly decide to attend it."	are  invited	will be invited	have been invited	were  invited
1380	I will lend you this book tomorrow if I __ it.	finish  reading	am reading	have been reading	were  reading
1381	The house is __ at the corner of a busy  street.	situated	placed	stood	put
1382	If I were  you I __ go to the doctor tomorrow.	could	would	will	must
1383	The new factory chimney was  __ than all the trees around it.	longer	greater	deeper	taller
1384	The police __ me $12  for parking at a bus-stop.	charged	asked	demanded	fined
1385	Her  parents were very __ because she was out so late that night.	responsible	sorry	worried	overcome
1386	You may not have to stay  the night but take a toothbrush just in __.	case	time	order	preparation
1387	"""The answer __  higher employment is a greater production,"" the economist said."	for	to	with	of
1388	We meet for lunch __ every  Friday.	hourly	at the same time	up to date	in good  time
1389	On the __ to the town there is a beautiful wood.	direction	street	way	entrance
1390	"I'm afraid that we don't  have any __ sizes in stock, madam."	higher	larger	greater	taller
