ID	Content	A	B	C	D
510	That most natural time units are  not simple multiples of each other __ in constructing a calendar.	it is a primary  problem	is a primary problem	a primary problem is	a primary  problem
511	In the U.S. more than 60 percent of all high school  students who __ continue their education.	do  not	graduate	will	can
512	"Although southern  California is densely populated, __ live in the northern part of the  state."	a little people	a few the people	few people	a little of  people
513	Waitresses and waiters who serve __ deserve at least  a 20 percent tip.	in a courteous manner	courteously	with courtesy  in their manner	courteous
514	If water is heated to  212 degrees F. __ as steam.	it will boil and escape	it is boiling  and escaping	it boil and escape	it would boil  and escape
515	The total production of bushels of corn in the United  States is __ all other cereal crops combined.	more  as	more than that of	more of	more that
516	"By  the time a baby has reached his first birthday, he should, without the help of  an adult, __ sit up or even stand up."	to be able  to	able to	to be able	be able to
517	The sport of hang gliding __ by the Federal Aviation Administration (FAA).	regulated  it	is regulated	that was regulated	that it was  regulated
518	It is the recommendation of the U.S. Public Health  Service __ all children be vaccinated against a variety of diseases.	for	that	when	suggests
519	"Jamestown, the  first permanent English settlement in America, __ in 1607."	it was  founded	colonists arrived	was established	founded
520	"__ of the play, 'Mourning Becomes Electra', introduces the cast of  characters and hints at the plot."	The act first	Act one	Act  first	First act
521	__ owe much of their success as a group  to their unusual powers of migration.	That birds	A  bird	The bird	Birds
522	"Even if the unemployment rate  __ sharply, the drop may still be temporary."	to drop	dropping	have dropped	drops
523	June was very angry that her  mail from home __.	had opened	was opening	had been  opened	opened
524	His wife __ told that he had had an  accident.	was	had to	is	had
525	The freshman  read an advertisement __ the newspaper about an apartment to rent.	in	from	on	out of
526	"They went to the store to  buy knives, forks, spoons and __."	glasses	cutlery	eating tools	silverware
527	Many of the current  international problems we are now facing __.	linguistic  incompetencies	are the result of  misunderstandings	are because of not understanding  themselves	lacks of intelligent capabilities of understanding each  other
528	The crime rate has continued to rise in American cities  despite efforts on the part of both government and private citizens to curb  __.	them	him	its	it
529	__ of  commodities by air began in the 1920s at the same time as airmail service.	The  shipping	A ship	The shipped	To ship
530	"Thirty-eight national sites are known as parks, another eighty-two as monuments,  and __."	the another one hundred seventy-eight as historical  sites	the other one hundred seventy-eight as historical  sites	seventy-eight plus one hundred more as historical  sites	as historical sites one hundred seventy-eight
531	__ daily promotes physical as well as emotional well-being in people of  all ages.	Having exercised	Those who exercise	Exercising	For exercising
532	"Although the  scientific community had hoped that the field of transplantation __ , the  shortage of organ donors has curtailed research."	progress	had progressed	would progress	progressing
533	__ apples are grown in Washington State.	Best	The most good	The best	The better
534	Countries may __ the World Bank for development projects.	borrow large  sums of money from	lend large sums of money from	borrow large  sums of money	lend large sums of money
535	"The  average elevation of the Himalayas is twenty thousand feet, and Mount Everest  __ to more than twenty-nine thousand feet at its apex."	raises	rises	roses	arises
536	__ migrate  long distances is well documented.	That it is birds	That birds	Birds  that	It is that birds
537	"To relieve pressure in the skull,  __ into the blood."	you will inject a strong solution of pure glucose	to inject a  strong solution of pure glucose	a strong solution of glucose will  inject purely	inject a strong solution of pure  glucose
538	A slipped disk is a condition __ the intervertebral  disk protrudes and presses on nerves.	what	which is	in which	that
539	"The  pirate Jean Lafitte offered his services to the U.S. government in the War of  1812, __ in 1815, and received a full pardon from President James Madison."	fought in the  Battle of New Orleans	the Battle of New Orleans was	he fought in  the Battle of New Orleans	the Battle of New Orleans
540	The  facilities of the older hospital__	is as good or  better than the new hospital	are as good or better that the bew  hospital	are as good as or better than the new hospital	are as good as  or better than those of the new hospital
541	"The rhinoceros has a rather poor sense of  smell, nor __."	can it see well	it well can see	it can see  well	well can it see
542	"Before __, they used horse-drawn  wooden carts."	farmers have had tractors	tractors owned by  farmers	having tractors farmers	farmers had tractors
543	__ for overall health.	Extra fiber in one's diet is helpful	Extra fiber is one's helpful  diet	Helpful one's diet is extra fiber	One's diet is helpful in extra  fiber
544	"Black, red, and even bright pink diamonds __."	occasionally to  find	occasionally found	have occasionally been found	have occasionally  found
545	"Had the fire been worse, the whole factory __ to the  ground."	would burn	would have burned	had burned	will  burn
546	The student was told that he could hand in the lost wallet to  __.	anyone official	officially anyone	official  anyone	anyone officially
547	The changes in this city have  occurred __.	with swifness	rapidly	fastly	in rapid ways
548	Nacy hasn't begun working on her Ph.D. __ working on her master's.	still because she is  yet	yet as a result she is still	yet because she is  still	still while she is already
549	__ actress's life is  in many ways unlike that of other women.	An	A	As the	That the
550	Management __ as  the organization and coordination of an enterprise.	to be  defined	it is defined	definable	can be  defined
551	"Beavers have been known to use logs, branches, rocks, and  mud to build dams that are more than a thousand __"	foot in  length	feet long	long feet	lengthy foot
552	This university's programs __ those of Harvard.	come second  after	are second only to	are first except for	are in second  place from
553	__ created the donkey and elephant that  symbolize the Democratic and Republican parties.	Although Thomas  Nast	That was Thomas Nast	"Thomas Nast, who"	It was Thomas  Nast who
554	An equilateral triangle is a triangle __ and three  angles of equal size.	that have three sides of equal length	it has three sides equally  long	that has three sides of equal length	having three equal length  sides in it
555	"The definitions for ""gram calories"" or ""calories"" are  __ for most engineering work."	accurate as  enough	enough accurate	accurate enough	as accurate  enough
556	"When your body does not get __, it cannot make the  glucose it needs."	enough food	food as enough	food  enoughly	enough the food
557	John Dewey advocated teaching methods  that provided teaching experiences for students to participate in __  material to memorize.	instead of	not only	although	contrasting
558	"In a liberal arts curriculum, it is assumed that  graduates will __ about English, languages, literature, history, and the  other social sciences."	know	know how	knowledge	knowing
559	Please __ photocopies of copyrighted material  without the permission of the publisher.	no  make	don't make	not make	not to make
560	Not until a monkey is several years old __ to exhibit signs of  independence from its mother.	it begins	does it  begin	and begin	beginning
561	__ the plow is being displaced by new  techniques that protect the land and promise more abundant crops.	As a whole	Wholly	On a whole	The whole
562	Birds all over the world  __ in distances up to thousands of miles.	migrating	migrated	migrate	are migrated
563	"__ business, a  merger is a combination of two or more corporations under one management."	The	At	On	In
564	Studies indicate __  collecting art today than ever before.	there are that more  people	more people that are	that there are more people	people there are  more
565	The child thought the fruit tasted __ and wanted to eat  more.	sweetly	sweetness	sweet	sweetened
566	"While attempting to reach his home before the storm,  __"	the bicycle of John broke down	it happened that John's bike  broke down	the storm caught John	John had an accident on his  bicycle
567	"Unlike most Europeans, many Americans __ bacon and  eggs for breakfast every day."	used to eating	are used to eat	are used to  eating	used to eat
568	"Fire safety in family houses, __ most  fire deaths occur, is difficult to achieve."	where	why	how	when
569	"__ ants live in  colonies, keep farms, go to war, carry off slaves, and have a society somewhat  like human beings."	Studies of ant life show that	Studies of ant life  that	That is studied	That the studies of ant life
570	"__ like ""MacDonalds"" and ""Kentucky Fried Chicken"" have used franchising to  extend their sales internationally."	Chain's  restaurants	Chains restaurants	Chain  restaurant	Chain restaurants
571	__ have  a powerful influence on the shape of the entire magazine industry.	That economic  principles	Why economic principles	Economic  principles	Economic principles that
572	__ is cheaper for students who maintain a B average because they are a  better risk than average or below-average students.	Automobile's  insurance	Insurance of automobiles	Automobile insurance	Insurance  automobile
573	"__ a mayor, many city governments employ a city  manager."	Beside	Besides	And	Also
574	"If humans were totally deprived of sleep, they __  hallucinations, anxiety, coma, and eventually, death."	would  experience	experience	would have  experienced	had experienced
575	"In November of  1863, the city of Atlanta __ during Sherman's famous ""March to the Sea."""	was completely  burned	completely was burned	it was burned  completely	completely burned it
576	"__  New Jersey's proximity to New York, it is an important link in the nation's  transportation system."	Since	Resulting	However	Because  of
577	"The Federal Reserve System, __ under President Wilson,  plays a key role in regulating the U.S. economy."	the  establishment in 1913	was established in 1913	established in  1913	in 1913 they established it
578	"__ young, Eugene  O'Neill traveled with his father's theatrical company, and the stage was an  important part of his life."	When was he	He was	Was  he	When he was
579	"The Virginia strawberry, native to  eastern North America, was used in pre-colonial times __."	to flavor  bread	bread flavoring	flavored bread	bread was  flavored
580	Touch-typing was originally devised as an aid to  __.	the blinds	the blind	a blind  one	blinds
581	"When Franklin Roosevelt became very ill, his  wife began to take a more active role in politics, and many people believed that  __ and the president shared his responsibilities."	she	her	herself	hers
582	In the United States __  is the most concentrated is New Orleans.	French influence the  city	the city where French influence	where the city influences  French	where the French influence the city
583	"__ he was  writing his plays and poems four centuries ago, Shakespeare's ideas are still  relevant today."	As if	When	Although	While
584	The  wonders of the wild have throughout history inspired not only artists __.	also  writers.	but writers too.	but writers.	and also  writers.
585	"They are planning to build a subway, but it __ be a  difficult undertaking."	must	can	might	should
586	The  people at the party were worried about Janet because no one was aware __  that she had gone.	where that	of where	of the place where	the  place
587	"Green and magenta are complementary colors located opposite  each other on the color wheel, __."	and blue and yellow  so	and too blue and yellow	and so blue and yellow  do	and so are blue and yellow
588	"__ that gold was  discovered at Sutter's Mill, and that the California Gold Rush began."	Because in  1848	That in 1848	In 1848 that it was	It was in 1848
589	Between the California Coast Range and the Sierra Nevada __.	great Central  Valley	the great Central Valley	being the great Central  Valley	lies the great Central Valley
590	Sunspots are known to  cause __ enormous increase in the intensity of the sun's electromagnetic  radiation.	an	a	some	one
591	"__  the 35 years between the end of the Civil War and the turn of the century, the  population of the United States doubled, and manufacturing production increased  sevenfold."	Into	In	At	To
592	"In xerox  printing, the ink becomes fused to the paper as soon as __."	the paper  heated	the paper is heated	heats the paper	heating the  paper
593	"In the stringed instruments, the tones __ by playing  a bow across a set of strings that may be made of wire or gut."	they  produce	producing	are produced	that are  producing
594	"After the purchase of the Louisiana Territory, the  United States had __ it had previously owned."	twice more land  than	two times more land than	twice as much land as	two times much  land than
595	Young rivers have no flood plains and their valleys are  __ .	very narrow	too narrow	so narrow	narrowly
596	"__ a bridge builder, Gustav Eiffel designed the  Eiffel Tower for the Paris Exposition of 1889."	While	When	It was when	It while was
597	In 1905 Juneau replaced Sitka __ Alaska.	the capital  was	as the capital of	was the capital of	the capital  being
598	Whole-grain food products __ in most large  supermarkets across the United States and Canada.	now can  purchase	can now be purchased	now to purchase	the purchase of  which
599	"The year 1732 saw the first appearance of Poor Richard's  Almanac, __ Benjamin Franklin created the character of Poor Richard."	there	in which	in it	which in
600	"Sidney Lamier  was most famous for his poetry, but __ a schoolteacher, a literally  critic, and a musician."	was including	he was also	moreover  he	together with
601	"__ Java Man, who lived before the first  Ice Age,is the first manlike animal."	It is generally believed  that	Generally believed it is	Believed generally is	That it is  generally believed
602	Each mediocre book we read means one less great  book that we would otherwise have a chance __.	to read them	read	reading	to read
603	It is possible __ may  assist some trees in saving water in the winter.	the leaves are  lost	when leaves have lost	that the loss of leaves	to lose  leaves
604	John walked by the professor's office __ would be in.	hoping  he	which he hoped	hoped	he will hope
605	The chairman  arrived __ than all the other board members.	the earliest	more  earlier	more early	earlier
606	The cockroach __  disease wherever it goes is regarded as a danger to public health even though it  does not bite or sting.	spreads	spreading	which  spreading	to spread
607	"California relies heavily on income from  fruit crops, and __."	Florida also	Florida too	Florida is as  well	so does Florida
608	__ he began to make friends more  easily.	"Having entered school in the new city, it was found  that,"	"After entering the new school,"	"When he had been entering the  new school,"	"Upon entering into the new school,"
609	"Warmth, moisture,  and oxygen are three neces-sary requirements __ most seedlings."	for  cultivating	for cultivate	as cultivating	can cultivate
610	It costs about thirty dollars to have a tooth __	filling	to fill	filled	fill
611	Due  primarily to __ the Oneida Community broke up in 1880.	internal  stresses	there were internal stresses	internal stresses of  it	it had internal stresses
612	The examiner made us  __ our identification in order to be admitted to the test center.	showing	show	showed	to show
613	Trapeze artists usually rely on safety nets __ through the air.	flying	they fly	which fly	when flying
614	__ have captured the spirit of the conquest of America as well as James  Fenimore Cooper.	Few writers	The few writers	The writers are  few	Few are the writers
615	One purpose __ to decide if  there is sufficient evidence to try a person for a crime.	of a grand jury  is	of a grand jury	for a grand jury	of a grand jury which  is
616	"__ jellies, jams are made by retaining the pulp with the  fruit juice."	No likeness to	Not alike	Unlike	Dislike
617	"Water, __ is also one of the most abundant  compounds on earth."	is one of the most critical elements for human  survival	one of the most critical elements for human  survival	of which one of the most critical elements for human  survival	one of the most critical elements for human survival  which
618	"According to recent investigations, unselfish motives, such  as true empathy, __ , and commitment to a principle, sometimes surpass  self-interest in influencing human behavior."	to have  solidarity with others	others with solidarity	solidarity with  others	one has solidarity with others
619	"The role of the mass  media in influencing public policy decisions, maintaining or changing the status  quo of our society, and __ outlets for all types of views is enormous."	as it  provides	to provide	provide	providing
620	Public television stations are different from commercial stations __.	because they  receive money differently and different types of shows	for money and  program types	in the areas of funding and  programming	because the former receives money and has  programs differently from the later
621	The cyclist __ he crossed the main  street.	looked with caution after	had looked cautiously  before	was looked cautious when	looks cautious when
622	"Although dissimilar in almost every other respect, birds and insects have both  evolved efficient __ capabilities."	fly	flying	to fly	is flying
623	Elizabeth arrived with  __ beautiful creature that looked like a small tiger.	an	the	a	some
624	"Because the first pair of  pants did not fit properly, he asked for __."	another  pants	others pants	the others ones	another pair
625	"Having been served lunch, __."	the problem was discussed by  the members of the committee	the committee members discussed the  problem	it was discussed by the committee members the  problem	a discussion of the problem was made by the members of the  committee
626	"Florida has not yet ratified the Equal Rights Amendment,  and __."	several other states hasn't either	neither has some others  states	some other states also have not either	neither have several other  states
627	Weathering __ the action whereby surface rock is  disintegrated or decomposed.	it is	is that	is	being
628	"Although  Margaret Mead had several assistants during her long investigations of Samoa,  the bulk of the research was done by __ alone."	herself	she	her	hers
629	"Generic medications are just  as __, and much less expensive."	effectively brand-name  products	brand-name products effective	brand-name products as  effective	effective as brand-name products
630	"__ professional  baseball is played, the more certain it becomes that Walter Johnson's shut-out  record will never be beaten."	The longer than	How long	However  long	The longer
631	"Just off the Massachusetts coast __  a, popular summer resort area."	Martha's Vineyard is	is where  Martha's Vineyard	Martha's Vineyard	is Martha's  Vineyard
632	Benjamin West contributed a great deal to American art:  __.	"painting, teaching, and lecturing"	"painting, as a teacher and  lecturer"	"painting, teaching, and as a lecturer"	"painting, a teacher, and a  lecturer."
633	"__ in the cultivation of a forest, trees need  more careful planning than any other crop does."	Because the  time and area involved	For the time and area  involving	Because of the time and area involved	As a cause of the time and  area involved
634	"The Copper Age lasted __, after which bronze  was introduced."	from about 5000 BC to about 3700 BC	about from 5000 BC and about  3700 BC	for about 5000 BC to 3700 BC about	about 5000 BC to about 3700  BC
635	The vegetation in temperate zones all around the world is  __ .	similar	like	same	as
636	Oil paints  are __ they have become the most popular painter's colors.	so versatile  and durable that	so versatile and durable than	such versatile  and durable as	such versatile and durable
637	__ on clear days one can see the snowcap of Mount Rainier from Seattle.	Sometime	Some	Sometimes	Somestime
638	Hydrogen peroxide __ as a bleaching agent because it effectively whitens a  variety of fibers and surfaces.	used	is used	is using	that it  uses
639	"The first nuclear-powered ship in the world, ""The Nautilus,""  __ by the U.S. Navy in 1954."	when it was launched	that was  launched	was launched	launched
640	__ to develop  immunity to rheumatic fever.	It not being possible	It is not  possible	Not possible	Is not possible
641	"Although we often use ""speed"" and ""velocity""  interchangeably, in a technical sense, ""speed"" is not always __  ""velocity."""	alike	the same as	similar	as
642	"In order for people to work together effectively, they need __ each  other's needs."	to be sensitive to	is sensitive for	sensitivity	sensitive
643	"In the preparation of fibrous material for production  uses, stiff woody fibers from plants __ fibers from animal sources."	the most heat  the	need more heat than	than more heat needed	need the more heat  than
644	The salary of a bus driver is much higher __.	in comparison with a  teacher	than a teacher	than that of a teacher	to compare as a  teacher
645	"The serval, a large African wildcat, hunts like a dog  __ like other members of the cat family."	so	rather  than	instead	rather not
646	Here__ notebook  and report that I promised you last week.	is the	are  the	was the	has been a
647	The committee members  resented __	the president that he did not tell them about the  meeting	the president not to inform them of the meeting	the president's  not informing them of the meeting	that the president had failed informing  themselves that there was going to be a meeting
648	A telephone  recording tells callers __.	what time the movie starts	what time starts the  movie	what time does the movie start	the movie starts what  time
649	Napoleon __ the West Indian island of Santo Domingo in  1801.	attacked	is attacking	has attacted	attacking
650	Both liquids and gases flow freely from a container  because they have __.	not definite shape	none definite  shape	nothing definite shape	no definite shape
651	"Declared an endangered species in the United States, __."	people have  gathered the ginseng root almost to the point of extinction	the ginseng  root has been gathered almost to the point of extinction	the near  extinction of the ginseng root is due to excessive gathering	gathering the  ginseng root almost to the point of extinction
652	"In partnership  with John D. Rockefeller, Henry Flager __ the Standard Oil Company."	helped  forming	helped form	he helped form	helping to  form
653	"According to communications theory, after the message leaves  the sender, he __ controls it."	not  longer	none longer	longer doesn't	no longer
654	Business partners can usually sell their mutually owned property without  consulting __ unless they have agreed to a separate contract.	other	other one	one the other	each other
655	"Harvard __ a school for men, but now it is coeducational, serving as many  women as men."	was used	used to be	was used  to	was used to be
656	__ at 212 degrees F. and freezes  at 32 degrees F.	Waters boils	The water boils	Water  boils	Waters boil
657	"From 1898 to 1933, the U.S. Weather  Bureau obtained information about the weather from __ to box kites."	attached  devices	attached to devices	devices attached	devices were  attached
658	"The incidence of anorexia nervosa, __, is growing  in industrially advanced societies."	is an eating  disorder	an eating disorder which	an eating disorder	for which an  eating disorder
659	__ more susceptible to bacterial  contamination than other types of meat because it has more surface area exposed  to bacteria laden air.	Ground meat	Ground meat is	Ground meat that  is	Ground meat being
660	Research in the work place reveals  that people work for many reasons __.	money  beside	money besides	beside money	besides money
661	Those students do not like to read  novels__test books.	in any case	forgetting about	leaving out of the  question	much less
662	The new professor would have been easier to  understand if he __ some examples on the board.	gave	gives	has given	had given
663	Julie __ to take  part in the seminar after all.	must	should	has	will
664	The  professor said that __.	the students can turn over their reports on the  Monday	the report on the Monday could be received from the students by  him	the students could hand in their reports on Monday	the students will  on Monday the reports turn in
665	"There has not been a great response  to the sale, __?"	does there	hasn't there	hasn't it	has  there
666	"As a safety precaution, all city cabdrivers carry only  enough money to make change for a __ bill."	ten-dollar	ten-dollars	tens-dollar	tens-dollars
667	__ to use  pigeons for observation purposes on sea-rescue missions.	It is  planned	There is planned	Has been planned	Is planned
668	__ the news from war zones is inevitably censored.	Although much  of	Assuming some of	Much of	Many of
669	"__, the  nation's capital remained in Philadelphia, Pennsylvania."	"While designing Washington,  D.C."	"Washington, D.C., was designed"	"While Washington, D.C., was  being designed"	"Washington, D.C., designed"
670	People  all over the world are starving __.	greater in  numbers	in most numbers	more numerously	in greater  numbers
671	"__ growing awareness of social ills, Edna Saint  Vincent Millay wrote increasingly more somber poetry during her later years."	A	Because her	When a	Due to her
672	__ fuel that is used today is a chemical form of solar energy.	Most  of	The most	Most	Almost the
673	Blue-green  algae are found __ there is ample moisture.	wherever	ever where	ever	there ever
674	Valley Forge  National Park commemorates the time that Washington __ in Valley Forge  with his troops.	spend	spent	was spent	has been  spent
675	Efforts to provide equal opportunity for minorities in the  United States __ from the Civil Rights Act of 1964.	may be said to  date	dating	may say to date	to date may be  said
676	"In practice, setting up a chain of command in a business can  be a very complicated task, __ it involves the interaction of real human  beings."	because of	how	as	due to
677	"Over  the past several decades, radio telescopes __ of the universe from the one  disclosed by ordinary telescopes."	have given scientists quite a different  view	have quite a different view given scientists	quite a  different view have given scientists	have they given scientists quite a  different view
678	Copper tubing is the preferred choice of plumbers  __ noncorrosive.	since it is	because of	it is	insofar  as
679	__ when a person doesn't eat enough fruit and  vegetables.	"Depleting gradually, potassium can occur"	Gradual  potassium depletion can occur	Since potassium can gradually be  depleted	Since gradually depleting potassium can occur
680	There  are now __ methods for studying color vision in infants than there once  were.	more sophisticated than	much more  sophisticated	much sophisticated	sophisticated
681	"The geographic position of North America,  __ in the early days of the European settlement."	"laying between the Atlantic  and the Pacific Oceans, isolating it"	isolating it as it laid between the  Atlantic and the Pacific Oceans	"lying between the Atlantic and the Pacific  Oceans, isolated it"	isolating it between the Atlantic and the Pacific  Oceans as it was layed
682	Often a team of engineers are __.	work on one  project	on one project work	working on one project	to working on one  project
683	Most insurance agents would rather you __ anything  about collecting claims until they investigate the situation.	do	didn't  do	don't	didn't
684	"Only one mammal, __ is  known to bear routinely four identical young."	it is the  armadillo	being the armadillo	which the armadillo	the armadillo
685	"The Appalosa horse was brought to Mexico from Spain, was later 0introduced into  the United States, and today __."	by American ranchers is  prized	is prized by American ranchers	prized by American  ranchers	American ranchers prized it
686	Cuba is  __sugar-growing areas in the world.	one of the  larger	one of largest	one of the largest	largest
687	Not  every pearl that is found __.	of value	is  valuable	to be valued	valuable
688	The bacteria in milk is  destroyed when __ to at least 62¦C.	it be heated	it  heated	it is heated	it will be heated
689	The growth of  two-income families in the United States __ of people moving to a new  social class.	has resulted in millions	results of millions	millions of  results	resulting in millions
690	"Although it is difficult  __ , a frog is more likely to be smooth and wet, and a toad rough and dry."	distinguishing  among a frog and a toad	distinguish a frog and a toad	between a frog  and a toad distinguish	to distinguish between a frog and a  toad
691	"__ fall naturally into two classes, which can be  further subdivided into several subclasses."	There are  vitamins	Vitamins that	Vitamins	After  vitamins
692	Not until the Triassic Period __.	the first  primitive mammals did develop	did the first primitive mammals  develop	did develop the first primitive mammals	the first  primitive mammals develop
693	"__ planet from the sun, Mars, has  a year of 687 days."	The fourth	The four	Four	Fourth
694	"The city council is empowered not only to enact new laws,  __ select a new mayor between elections should the need arise."	and  to	but also to	and	so that
695	"A giant kind of  grass, bamboo may reach a height of 120 feet and __."	a diameter of  one foot	its diameter is one foot	there is a diameter of one  foot	which is a diameter of one foot
696	The sea mammal medusa  is popularly called a jellyfish because it __ jelly.	looks rather  like	looks like rather	which looks rather like	which looks  like rather
697	"The tallest bird on the North American continent, the  white whooping crane, __ four and a half feet tall."	stands	which stands	it stands	standing
698	"__ extensively by persons who cannot speak or hear, American Sign Language  ranks as the fourth most widely used language in the U.S. today."	Relied  on	It is relied on	Relying on it	To rely on it
699	"In the seventeenth century, North America was vast and unconquered, __  only at great cost."	it promised riches but yielded its bounty	promising  riches but yielding its bounty	by promising riches but by yielding its  bounty	its riches were promised but its bounty yielded
700	"By  the twenty-first century, the computer __ a necessity in every home."	became	becoming	has become	will have become
701	Farmers look forward to __ every  summer.	participating in the county fairs	participate in the county  fairs	be participating in the county fairs	have participated in the  county fairs
702	"Hollywood, the heart of America's motion picture  industry, __ of Los Angeles a century ago."	was only a quiet  suburb	only quiet suburb was	quiet suburb only was	suburb was quiet  only
703	"Built at the beginning of the century, the Library of  Congress houses one is of the largest __ collections of books in the  world."	and fine	and finest	or finest	yet  fine
704	A home computer __ an opportunity for convenient and  efficient work at home.	provides	to be providing	which  provides	providing it
705	"After __ in his application form, he  went to pay the membership fee."	his name	handing	his hand	immediately
706	The  spectators were sitting quietly in the stand __ had just been completed.	who	it	which it	which
707	"Captain Henry,  __ crept slowly through the underbrush."	"being remote from the  enemy,"	"attempting not to encounter the enemy,"	"trying to avoid the  enemy,"	"not involving himself in the enemy,"
708	__ William  Shakespeare is the most widely known.	With all writers in  English	All writers in English	All of the writers in  English	Of all writers in English
709	"The earth spins on its axis  and __ 23 hours, 56 minutes and 4.09 seconds for one complete rotation."	need	needed	needing	needs
710	A pet can act as a  barometer __.	it measures anxiety in a family	by which anxiety in family  may be measured	it measures anxiety which in a family may  be	that which measures anxiety in a family
711	"By declining  to run for presidential reelection in 1808, Thomas Jefferson __ the  two-term tradition still followed, with but a few exceptions, to the present  day."	to help establish	helped the establishment	helped to  establish	in helping to establish
712	Uranus is just __ to be  seen on a clear night with the naked eye.	bright  enough	enough brightly	as enough bright	bright as  enough
713	Arizona __ a very dry climate.	has	being	having	with
714	Iron  __ for weapons and tools in the Bronze Age following the Stone Age.	is generally  used	generally used	was generally used	used  generally
715	"The general public __ a large number of computers  now, because prices are beginning to decrease."	must  buy	must have bought	must be buying	must buying
716	Football teams don't play in the Super Bowl championship __ either the  National or the American Conference.	unless they  win	but they win	unless they will win	but to have  won
717	The foreign policies __ the Hoover administration  undertook in 1929 were marked by good will and peaceful purpose.	that	where	on which	of
718	"Antarctica  is larger __, but it has no native human population."	than Europe or  Australia does	Europe or Australia	of Europe or  Australia	than Europe or Australia
719	"According to some records,  Carl Sandburg __ was expelled from West Point Military Academy because of  deficiencies in English."	he was a poet and literary genius	his poetry and literary  genius	poet and literary genius	whose poetry and literary  genius
720	__ the catfish is prized for its taste.	It is  ugly-looking	Ugly-looking it is	With  ugly-looking	Ugly-looking
721	"In the Great Smoky Mountains, one can see  __ 150 different kinds of trees."	more than	as much  as	up as	as many to
722	Everybody congratulated  the young teacher for the __ seminar.	extreme  well-organized	extremely well-organized	well-organized  extremely	well-organized extreme
723	Mr. Roberts is a noted chemist  __.	as well as an effective teacher	and too a very efficient  teacher	but he teaches very good in addition	however he teaches very good  also
724	"As a safety measure, the detonator for a nuclear device may  be made of __ each of which is controlled by a different employee."	two  equipments	two pieces of equipments	two pieces of equipment	two equipment  pieces
725	"__ physicist, Gabriel Fahrenheit, invented the  mercury thermometer in 1714."	There is	It is	The	It is the
726	__ is the cause of most small-business failures is virtually an economic  truism.	Undercapitalization	Undercapitalization that	Where  undercapitalization	That undercapitalization
727	__  unknown quantities is the task of algebra.	To found	Find	The find	Finding
728	"An abstract painter and a  pioneer of Surrealism, __ and symbolic images."	Miro's works are characterized  by bright colors	the works of Miro are characterized by bright  colors	Miro is famous for works characterized by bright  colors	bright colors characterize the works of Miro
729	"Chosen as  the nation's capital at the end of the American Civil War, __ a city of  over a million people."	"Washington, D.C., is now"	"for Washington, D.C.,"	"to Washington,  D.C.,"	"now in Washington, D.C.,"
730	"Although they are smaller,  chipmunks are __ most other ground squirrels."	like  to	like as	like	alike
731	__ earth  might be experiencing a global warming trend which could have devastating  climatic effects.	In the	The	Where the	Whole
732	"According to estimates by some botanists, there are  __ of plants."	seven thousand type	seven thousand types	type of seven  thousand	types seven thousand
733	Some retirement communities will  not sell property to new residents unless they are about __ the rest of  the residents.	the same age	the same old	the same age  as	the same old as
734	"Cupid, one of the ancient Roman gods,  __."	were a little winged child	representing as a little winged  child	was represented as a little winged child	a little winged  child
735	"If services are increased, taxes __."	will probably  go up	probably go up	probably up	going up  probably
736	Projective tests __ as the Rorschach Test have no  right or wrong answers.	such	similar	like	same
737	"__ in 1937, the Golden Gate Bridge spans the channel  at the entrance to San Francisco Bay."	Completes	Completed	Completing	To complete
738	The electric eel uses its electric shock to capture food and __.	for  protection	protect itself	protecting  itself	it protects itself
739	"Baboons eat a variety of foods,  __ eggs, fruits, grass, insects, plant leaves, and roots."	they  include	among them are	among	including
740	"Both  historically and __, Ontario is the heartland of Canada."	in its  geography	geographically	also its geography	geography
741	Our flight from Amsterdam tlo London was  delyed __ the heavy fog.	because of	because	on account	as result
742	"Despite claims that filters and low-tar tobacco make smoking somewhat safer, in  fact they only marginally reduce, __ eliminate, the hazards."	none	no	not	nor
743	Jellyfish are probably __  on Earth.	most numerous predators	the most numerous  predators	most numerous of predators	the most predators
744	This  part of the country seldom __ such hot weather.	experiences	was  experienced	is experiencing	experiencing
745	"Before a person may  drive a car on a public highway, it is necessary that he __ a driving  test."	take	is taking	took	takes
746	Not only the passengers __ were frightened when the  airplane entered the electrical storm.	or the crew	but neither the  crew	and the crew	but also the crew
747	Warning: __  or operate heavy equipment while taking this medication.	please no  drive	would you please no driving	please don't drive	have you please  not driven
748	Please write out the answers to the questions at the  end of __.	eighth chapter	eight chapter	chapter  eight	chapter the eight
749	Most accidents in the home can be  prevented by __ elimination of hazards.	that	that  the	there is a	the
750	"The Puritans, __  percentage of the earliest settlers in Massachusetts, were a pious,  self-disciplined people."	which size	a sizable	the  sizable	that sizable
751	"The common crow, __ one of the  hardiest birds in existence, can live up to eighty years."	is  considered	considered it	has been  considered	considered
752	"__ a busy city,  Pompeii was virtually destroyed by the eruption of Mount Vesuvius in 79 A.D."	Once	It was once	Once it was	That once
753	The  consistency of protoplasm and that of glue __.	they are  alike	are similar to	are similar	the same
754	"The  famous architect, Frank Lloyd Wright, was greatly __ , who wanted him to  study architecture."	influenced by his mother	from his mother's  influence	his mother influenced him	influencing for his  mother
755	"According to the Christian Bible, when the disciples saw  Jesus after he had risen from the dead, they said, __ ."	it is  him	it is he	it is his	it is himself
